"";"barrio";"n";"percent"
"1";"Embajadores";2940;11,84
"2";"Universidad";2277;9,17
"3";"Palacio";1813;7,3
"4";"Sol";1287;5,18
"5";"Justicia";1249;5,03
"6";"Cortes";1041;4,19
"7";"Trafalgar";527;2,12
"8";"Palos de la Frontera";406;1,64
"9";"Goya";405;1,63
"10";"Guindalera";393;1,58
"11";"Argüelles";369;1,49
"12";"Cuatro Caminos";357;1,44
"13";"Puerta del Ángel";349;1,41
"14";"Recoletos";341;1,37
"15";"Pacífico";305;1,23
"16";"Castillejos";264;1,06
"17";"Arapiles";263;1,06
"18";"Gaztambide";253;1,02
"19";"Ríos Rosas";251;1,01
"20";"Ibiza";240;0,97
"21";"San Diego";240;0,97
"22";"Lista";239;0,96
"23";"Almagro";237;0,95
"24";"Delicias";231;0,93
"25";"Ventas";229;0,92
"26";"Pueblo Nuevo";228;0,92
"27";"Numancia";216;0,87
"28";"Las Acacias";200;0,81
"29";"Bellas Vistas";199;0,8
"30";"Castellana";195;0,79
"31";"Prosperidad";194;0,78
"32";"San Isidro";190;0,77
"33";"Valdeacederas";184;0,74
"34";"Moscardó";177;0,71
"35";"Imperial";175;0,7
"36";"Berruguete";173;0,7
"37";"Comillas";167;0,67
"38";"La Chopera";167;0,67
"39";"Canillas";165;0,66
"40";"Valdefuentes";161;0,65
"41";"Vista Alegre";160;0,64
"42";"Opañel";153;0,62
"43";"Almenara";149;0,6
"44";"Hispanoamérica";142;0,57
"45";"Simancas";137;0,55
"46";"Fuente del Berro";135;0,54
"47";"Quintana";127;0,51
"48";"Valverde";122;0,49
"49";"Los Jerónimos";120;0,48
"50";"Pinar del Rey";117;0,47
"51";"Almendrales";116;0,47
"52";"Lucero";116;0,47
"53";"Rejas";116;0,47
"54";"Vallehermoso";114;0,46
"55";"Ciudad Jardín";112;0,45
"56";"Casco Histórico de Vallecas";110;0,44
"57";"Canillejas";107;0,43
"58";"Adelfas";105;0,42
"59";"Valdezarza";102;0,41
"60";"El Viso";97;0,39
"61";"Nueva España";97;0,39
"62";"Pradolongo";95;0,38
"63";"Aluche";92;0,37
"64";"Palomeras Bajas";92;0,37
"65";"Puerta Bonita";90;0,36
"66";"Castilla";88;0,35
"67";"Orcasur";86;0,35
"68";"Concepción";81;0,33
"69";"Casa de Campo";80;0,32
"70";"Buenavista";78;0,31
"71";"Rosas";78;0,31
"72";"San Andrés";77;0,31
"73";"Los Cármenes";75;0,3
"74";"Peñagrande";73;0,29
"75";"Pilar";73;0,29
"76";"Ciudad Universitaria";69;0,28
"77";"Fontarrón";66;0,27
"78";"Casco Histórico de Vicálvaro";65;0,26
"79";"Los Rosales";65;0,26
"80";"Niño Jesús";63;0,25
"81";"Palomeras Sureste";59;0,24
"82";"Timón";59;0,24
"83";"Entrevías";56;0,23
"84";"Portazgo";56;0,23
"85";"San Fermín";56;0,23
"86";"Arcos";53;0,21
"87";"San Pascual";53;0,21
"88";"Abrantes";51;0,21
"89";"Casco Histórico de Barajas";51;0,21
"90";"Las Águilas";50;0,2
"91";"Legazpi";49;0,2
"92";"Zofío";49;0,2
"93";"Alameda de Osuna";48;0,19
"94";"Los Ángeles";44;0,18
"95";"Aravaca";42;0,17
"96";"Piovera";41;0,17
"97";"Costillares";40;0,16
"98";"Marroquina";40;0,16
"99";"Apóstol Santiago";37;0,15
"100";"La Paz";37;0,15
"101";"Hellín";36;0,14
"102";"San Juan Bautista";36;0,14
"103";"Media Legua";35;0,14
"104";"Butarque";34;0,14
"105";"San Cristóbal";32;0,13
"106";"Vinateros";32;0,13
"107";"Campamento";31;0,12
"108";"La Estrella";31;0,12
"109";"Mirasierra";30;0,12
"110";"El Salvador";28;0,11
"111";"Orcasitas";27;0,11
"112";"Colina";24;0,1
"113";"Atocha";19;0,08
"114";"El Goloso";16;0,06
"115";"El Plantío";15;0,06
"116";"Ambroz";14;0,06
"117";"Amposta";13;0,05
"118";"Pavones";11;0,04
"119";"Santa Eugenia";10;0,04
"120";"Aeropuerto";9;0,04
"121";"Corralejos";9;0,04
"122";"Palomas";8;0,03
"123";"Cuatro Vientos";7;0,03
"124";"Valdemarín";7;0,03
"125";"El Pardo";4;0,02
"126";"Horcajo";2;0,01
