"";"cod_distrito";"distrito";"indicador_nivel2";"indicador_completo";"valor_indicador"
"1";1;"Centro";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";1,852
"2";2;"Arganzuela";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";291
"3";3;"Retiro";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";177
"4";4;"Salamanca";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";693
"5";5;"Chamartín";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";314
"6";6;"Tetuán";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";502
"7";7;"Chamberí";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";251
"8";8;"Fuencarral-El Pardo";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";220
"9";9;"Moncloa-Aravaca";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";264
"10";10;"Latina";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";350
"11";11;"Carabanchel";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";630
"12";12;"Usera";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";362
"13";13;"Puente de Vallecas";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";1,109
"14";14;"Moratalaz";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";125
"15";15;"Ciudad Lineal";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";509
"16";16;"Hortaleza";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";221
"17";17;"Villaverde";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";411
"18";18;"Villa de Vallecas";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";333
"19";19;"Vicálvaro";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";78
"20";20;"San Blas-Canillejas";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";396
"21";21;"Barajas";"";"Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas";97
