"";"cod_distrito";"distrito";"total"
"1";1;"Centro";5253
"2";2;"Arganzuela";811
"3";3;"Retiro";282
"4";4;"Salamanca";1025
"5";5;"Chamartín";438
"6";6;"Tetuán";860
"7";7;"Chamberí";474
"8";8;"Fuencarral-El Pardo";394
"9";9;"Moncloa-Aravaca";766
"10";10;"Latina";585
"11";11;"Carabanchel";1066
"12";12;"Usera";942
"13";13;"Puente de Vallecas";1421
"14";14;"Moratalaz";311
"15";15;"Ciudad Lineal";1190
"16";16;"Hortaleza";355
"17";17;"Villaverde";788
"18";18;"Villa de Vallecas";939
"19";19;"Vicálvaro";188
"20";20;"San Blas-Canillejas";859
"21";21;"Barajas";450
